model,scenario_id,status,objective_score,objective_score_raw,topic_floor_penalized,coherence_cv,topic_diversity,num_topics,runtime_seconds,params_json
LDA,lda_017,ok,0.192578,0.192578,False,0.3473,0.5545,11,12.06,"{""num_topics"": 11, ""passes"": 25, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.9}"
LDA,lda_013,ok,0.190853,0.190853,False,0.3601,0.53,10,8.37,"{""num_topics"": 10, ""passes"": 15, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": ""symmetric"", ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_002,ok,0.190704,0.190704,False,0.3288,0.58,10,11.56,"{""num_topics"": 10, ""passes"": 25, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""symmetric"", ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_004,ok,0.186866,0.186866,False,0.3685,0.5071,14,7.76,"{""num_topics"": 14, ""passes"": 15, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.9}"
LDA,lda_011,ok,0.17388,0.17388,False,0.322,0.54,10,8.33,"{""num_topics"": 10, ""passes"": 15, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""symmetric"", ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_010,ok,0.167456,0.167456,False,0.3435,0.4875,8,8.56,"{""num_topics"": 8, ""passes"": 15, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": ""symmetric"", ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_016,ok,0.167456,0.167456,False,0.3435,0.4875,8,8.62,"{""num_topics"": 8, ""passes"": 15, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.9}"
LDA,lda_014,ok,0.16525,0.16525,False,0.3305,0.5,11,8.04,"{""num_topics"": 11, ""passes"": 15, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_008,ok,0.162099,0.162099,False,0.3354,0.4833,12,11.78,"{""num_topics"": 12, ""passes"": 25, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_015,ok,0.161135,0.161135,False,0.3484,0.4625,8,8.46,"{""num_topics"": 8, ""passes"": 15, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
