model,scenario_id,combo
BERTopic,bertopic_011,"{""min_topic_size"": 10, ""nr_topics"": ""auto"", ""top_n_words"": 15, ""n_gram_range"": [1, 1], ""umap_n_neighbors"": 15, ""umap_n_components"": 5, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_012,"{""min_topic_size"": 6, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 30, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 10, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_013,"{""min_topic_size"": 6, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 30, ""umap_n_components"": 5, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 8, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_014,"{""min_topic_size"": 6, ""nr_topics"": 10, ""top_n_words"": 20, ""n_gram_range"": [1, 1], ""umap_n_neighbors"": 30, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 10, ""hdbscan_min_samples"": 2, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_015,"{""min_topic_size"": 8, ""nr_topics"": ""auto"", ""top_n_words"": 15, ""n_gram_range"": [1, 1], ""umap_n_neighbors"": 45, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 2, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_016,"{""min_topic_size"": 8, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 1], ""umap_n_neighbors"": 30, ""umap_n_components"": 5, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 10, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_017,"{""min_topic_size"": 10, ""nr_topics"": 10, ""top_n_words"": 15, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 30, ""umap_n_components"": 5, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 10, ""hdbscan_min_samples"": 2, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_018,"{""min_topic_size"": 10, ""nr_topics"": 14, ""top_n_words"": 15, ""n_gram_range"": [1, 1], ""umap_n_neighbors"": 30, ""umap_n_components"": 5, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 10, ""hdbscan_min_samples"": 2, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_019,"{""min_topic_size"": 6, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 15, ""umap_n_components"": 5, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_020,"{""min_topic_size"": 10, ""nr_topics"": 11, ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 45, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
LDA,lda_001,"{""num_topics"": 14, ""passes"": 25, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": ""symmetric"", ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_002,"{""num_topics"": 10, ""passes"": 25, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""symmetric"", ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_003,"{""num_topics"": 12, ""passes"": 25, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_004,"{""num_topics"": 14, ""passes"": 15, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.9}"
LDA,lda_005,"{""num_topics"": 12, ""passes"": 25, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""symmetric"", ""no_below"": 3, ""no_above"": 0.9}"
LDA,lda_006,"{""num_topics"": 14, ""passes"": 15, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": ""symmetric"", ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_007,"{""num_topics"": 11, ""passes"": 25, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_008,"{""num_topics"": 12, ""passes"": 25, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_009,"{""num_topics"": 8, ""passes"": 15, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""symmetric"", ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_010,"{""num_topics"": 8, ""passes"": 15, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": ""symmetric"", ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_011,"{""num_topics"": 10, ""passes"": 15, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""symmetric"", ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_012,"{""num_topics"": 11, ""passes"": 25, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.9}"
LDA,lda_013,"{""num_topics"": 10, ""passes"": 15, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": ""symmetric"", ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_014,"{""num_topics"": 11, ""passes"": 15, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_015,"{""num_topics"": 8, ""passes"": 15, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_016,"{""num_topics"": 8, ""passes"": 15, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.9}"
LDA,lda_017,"{""num_topics"": 11, ""passes"": 25, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.9}"
LDA,lda_018,"{""num_topics"": 10, ""passes"": 25, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.9}"
LDA,lda_019,"{""num_topics"": 12, ""passes"": 25, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_020,"{""num_topics"": 10, ""passes"": 25, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.9}"
